Trial,1,Sim Type,5,Distance Weight,0.95,Random Seed,15,Min Iterations,2500,Distance cost,0.3754147407214803,Manip Cost,0.25,Total cost,0.3691440036854063,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Joint 4: ,0.9,0.898,0.887,0.958
Joint 5: ,0.9,0.897,0.887,0.78
Joint 6: ,0.0,-0.0,0.456,0.55
Trial,22,Sim Type,5,Distance Weight,0.95,Random Seed,330,Min Iterations,2500,Distance cost,0.3885521742057176,Manip Cost,0.0,Total cost,0.3691245654954317,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,6.10868676e-11
Distance to Last Node,0.0,0.189,0.246
Total Cost,0.0,0.16044,0.36912
Local Manip Cost,0.0,-0.0,-0.0
Joint 0: ,-0.2,0.052,0.29
Joint 1: ,0.4,0.448,0.883
Joint 2: ,0.4,0.255,0.306
Joint 3: ,0.9,1.132,0.95
Joint 4: ,0.9,0.75,0.92
Joint 5: ,0.9,1.029,0.763
Joint 6: ,0.0,0.503,0.518
Trial,23,Sim Type,5,Distance Weight,0.95,Random Seed,345,Min Iterations,2500,Distance cost,0.38324943096197406,Manip Cost,0.0,Total cost,0.3640869594138753,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20
Distance to Last Node,0.0,0.198,0.23
Total Cost,0.0,0.16842,0.36409
Local Manip Cost,0.0,-0.0,-0.0
Joint 0: ,-0.2,0.066,0.307
Joint 1: ,0.4,0.476,0.867
Joint 2: ,0.4,0.304,0.28
Joint 3: ,0.9,1.112,0.962
Joint 4: ,0.9,0.782,0.888
Joint 5: ,0.9,0.966,0.736
Joint 6: ,0.0,0.283,0.314
Trial,24,Sim Type,5,Distance Weight,0.95,Random Seed,360,Min Iterations,2500,Distance cost,0.3774364433015208,Manip Cost,0.3333333333333333,Total cost,0.37523128780311144,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,2.652037005e-11,4.38874199e-11
Distance to Last Node,0.0,0.194,0.228
Total Cost,0.0,0.1649,0.37523
Local Manip Cost,0.0,-0.0,1.0
Joint 0: ,-0.2,0.026,0.259
Joint 1: ,0.4,0.572,0.9
Joint 2: ,0.4,0.329,0.361
Joint 3: ,0.9,1.019,0.957
Joint 4: ,0.9,0.848,0.96
Joint 5: ,0.9,0.913,0.776
Joint 6: ,0.0,0.361,0.566
Trial,25,Sim Type,5,Distance Weight,0.95,Random Seed,375,Min Iterations,2500,Distance cost,0.3770864932153058,Manip Cost,0.3333333333333333,Total cost,0.37489883522120715,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.206,0.216
Total Cost,0.0,0.17497,0.3749
Local Manip Cost,0.0,-0.0,1.0
Joint 0: ,-0.2,-0.003,0.19
Joint 1: ,0.4,0.624,0.93
Joint 2: ,0.4,0.449,0.513
Joint 3: ,0.9,0.997,0.99
Joint 4: ,0.9,0.865,0.976
Joint 5: ,0.9,0.839,0.718
Joint 6: ,0.0,0.401,0.675
Trial,1,Sim Type,5,Distance Weight,0.95,Random Seed,15,Min Iterations,2500,Distance cost,0.37583216946364184,Manip Cost,0.12069270925255764,Total cost,0.3630751964530876,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,4.028484179e-11,1e-20
Distance to Last Node,0.0,0.248,0.172
Total Cost,0.0,0.21085,0.36308
Local Manip Cost,0.0,0.0,0.3620781277576729
Joint 0: ,-0.2,0.062,0.202
Joint 1: ,0.4,0.679,0.937
Joint 2: ,0.4,0.438,0.467
Joint 3: ,0.9,0.973,0.948
Joint 4: ,0.9,0.878,0.935
Joint 5: ,0.9,0.905,0.814
Joint 6: ,0.0,0.419,0.655
Trial,2,Sim Type,5,Distance Weight,0.95,Random Seed,30,Min Iterations,2500,Distance cost,0.37940697485582164,Manip Cost,0.10395965276966863,Total cost,0.365634608751514,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.118,0.162,0.144
Total Cost,0.0,0.10057,0.23787,0.36563
Local Manip Cost,0.0,0.0,0.0,0.41583861107867454
Joint 0: ,-0.2,-0.13,0.055,0.253
Joint 1: ,0.4,0.467,0.721,0.907
Joint 2: ,0.4,0.437,0.442,0.363
Joint 3: ,0.9,1.061,1.015,0.958
Joint 4: ,0.9,0.947,0.958,1.012
Joint 5: ,0.9,0.98,0.91,0.792
Joint 6: ,0.0,0.11,0.644,0.487
Trial,3,Sim Type,5,Distance Weight,0.95,Random Seed,45,Min Iterations,2500,Distance cost,0.3768718840469997,Manip Cost,0.08998986641594676,Total cost,0.36252778316544704,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,3.670109622e-11,1e-20
Distance to Last Node,0.0,0.231,0.191
Total Cost,0.0,0.19597,0.36253
Local Manip Cost,0.0,0.0,0.2699695992478403
Joint 0: ,-0.2,0.128,0.274
Joint 1: ,0.4,0.549,0.882
Joint 2: ,0.4,0.25,0.32
Joint 3: ,0.9,1.096,0.996
Joint 4: ,0.9,0.864,1.062
Joint 5: ,0.9,0.869,0.737
Joint 6: ,0.0,0.55,0.393
Trial,4,Sim Type,5,Distance Weight,0.95,Random Seed,60,Min Iterations,2500,Distance cost,0.37902175078927636,Manip Cost,0.07456325768641023,Total cost,0.36379882613413306,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,4.385060349e-11
Distance to Last Node,0.0,0.098,0.188,0.138
Total Cost,0.0,0.08339,0.2432,0.3638
Local Manip Cost,0.0,0.0,0.0,0.2982530307456409
Joint 0: ,-0.2,-0.066,0.196,0.264
Joint 1: ,0.4,0.444,0.635,0.9
Joint 2: ,0.4,0.32,0.282,0.355
Joint 3: ,0.9,0.995,1.043,0.942
Joint 4: ,0.9,0.837,0.824,0.923
Joint 5: ,0.9,0.966,0.828,0.785
Joint 6: ,0.0,-0.369,-0.518,-0.707
Trial,5,Sim Type,5,Distance Weight,0.95,Random Seed,75,Min Iterations,2500,Distance cost,0.3763845655535627,Manip Cost,0.08997652510678593,Total cost,0.36206416353122384,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.173,0.248
Total Cost,0.0,0.14715,0.36206
Local Manip Cost,0.0,0.0,0.2699295753203578
Joint 0: ,-0.2,-0.008,0.259
Joint 1: ,0.4,0.538,0.882
Joint 2: ,0.4,0.412,0.381
Joint 3: ,0.9,1.032,0.991
Joint 4: ,0.9,0.838,0.918
Joint 5: ,0.9,0.836,0.678
Joint 6: ,0.0,0.393,0.754
Trial,6,Sim Type,5,Distance Weight,0.95,Random Seed,90,Min Iterations,2500,Distance cost,0.37657608548557364,Manip Cost,0.07698874776301895,Total cost,0.3615967185994459,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.1,0.239,0.082
Total Cost,0.0,0.08496,0.28798,0.3616
Local Manip Cost,0.0,0.0,0.0,0.3079549910520758
Joint 0: ,-0.2,-0.114,0.181,0.251
Joint 1: ,0.4,0.474,0.775,0.894
Joint 2: ,0.4,0.431,0.377,0.381
Joint 3: ,0.9,0.988,0.999,0.979
Joint 4: ,0.9,0.861,0.932,0.969
Joint 5: ,0.9,0.931,0.768,0.735
Joint 6: ,0.0,-0.0,-0.393,-0.33
Trial,7,Sim Type,5,Distance Weight,0.95,Random Seed,105,Min Iterations,2500,Distance cost,0.37643184047734934,Manip Cost,0.06698333231638354,Total cost,0.36095941506930107,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,2.541559897e-11,1e-20
Distance to Last Node,0.0,0.095,0.098,0.228
Total Cost,0.0,0.08075,0.16377,0.36096
Local Manip Cost,0.0,0.0,0.0,0.26793332926553415
Joint 0: ,-0.2,-0.053,0.095,0.389
Joint 1: ,0.4,0.465,0.53,0.849
Joint 2: ,0.4,0.32,0.239,0.114
Joint 3: ,0.9,0.969,1.037,0.94
Joint 4: ,0.9,0.869,0.837,0.91
Joint 5: ,0.9,0.901,0.902,0.774
Joint 6: ,0.0,0.342,0.683,0.974
Trial,8,Sim Type,5,Distance Weight,0.95,Random Seed,120,Min Iterations,2500,Distance cost,0.3816664143905545,Manip Cost,0.08946683690982499,Total cost,0.367056435516518,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,2.583079497e-11,1e-20
Distance to Last Node,0.0,0.23,0.197
Total Cost,0.0,0.19504,0.36706
Local Manip Cost,0.0,0.0,0.26840051072947496
