Joint 6: ,0.0,0.471,1.115,1.956,2.066
Trial,13,Sim Type,5,Distance Weight,1,Random Seed,195,Min Iterations,2000,Distance cost,0.41013802403562394,Manip Cost,0.8,Total cost,0.3896311228338427,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,4.276691193e-11
Distance to Last Node,0.0,0.095,0.094,0.08,0.124
Total Cost,0.0,0.09407,0.18721,0.26667,0.38963
Joint 0: ,-0.3,-0.036,0.325,0.281,0.364
Joint 1: ,0.3,0.481,0.525,0.663,0.892
Joint 2: ,0.4,0.284,-0.004,0.222,0.246
Joint 3: ,1.2,0.999,1.003,0.895,0.77
Joint 4: ,0.5,0.503,0.376,0.447,0.468
Joint 5: ,1.2,1.266,1.187,1.1,0.959
Joint 6: ,0.0,-0.754,-1.744,-1.712,-1.652
Trial,14,Sim Type,5,Distance Weight,1,Random Seed,210,Min Iterations,2000,Distance cost,0.41109233661091893,Manip Cost,0.8,Total cost,0.39053771978037294,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,4.271064502e-11,0.0,0.0,4.303645254e-11
Distance to Last Node,0.0,0.102,0.11,0.101,0.081
Total Cost,0.0,0.10125,0.20999,0.30999,0.39054
Joint 0: ,-0.3,-0.014,0.065,0.189,0.29
Joint 1: ,0.3,0.823,0.595,0.773,0.877
Joint 2: ,0.4,0.274,0.346,0.336,0.298
Joint 3: ,1.2,0.898,1.077,0.978,0.957
Joint 4: ,0.5,0.729,0.847,0.897,0.909
Joint 5: ,1.2,0.797,0.938,0.907,0.765
Joint 6: ,0.0,-0.613,-1.381,-1.522,-1.486
Trial,15,Sim Type,5,Distance Weight,1,Random Seed,225,Min Iterations,2000,Distance cost,0.41130991146373735,Manip Cost,0.8333333333333334,Total cost,0.3907444158905505,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,2.700509248e-11,4.111211816e-11,0.0
Distance to Last Node,0.0,0.05,0.085,0.121,0.117,0.021
Total Cost,0.0,0.04962,0.13365,0.25401,0.36972,0.39074
Joint 0: ,-0.3,-0.092,0.108,0.131,0.267,0.292
Joint 1: ,0.3,0.426,0.648,0.593,0.822,0.861
Joint 2: ,0.4,0.505,0.333,0.376,0.351,0.356
Joint 3: ,1.2,1.182,1.186,1.156,0.994,0.962
Joint 4: ,0.5,0.688,0.735,0.607,0.676,0.682
Joint 5: ,1.2,1.003,0.801,0.855,0.7,0.675
Joint 6: ,0.0,-0.126,-0.942,-1.452,-1.515,-1.515
Trial,16,Sim Type,5,Distance Weight,1,Random Seed,240,Min Iterations,2000,Distance cost,0.40391936879823964,Manip Cost,0.6222657373809806,Total cost,0.38372340035832764,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,4.227222977e-11,0.0,4.084433304e-11,0.07703944243225666
Distance to Last Node,0.0,0.115,0.05,0.149,0.073
Total Cost,0.0,0.11431,0.16392,0.31741,0.38372
Joint 0: ,-0.3,0.299,0.293,0.21,0.276
Joint 1: ,0.3,0.854,0.882,0.718,0.842
Joint 2: ,0.4,0.268,0.26,0.262,0.337
Joint 3: ,1.2,0.962,0.962,1.161,1.115
Joint 4: ,0.5,0.892,0.891,0.992,1.264
Joint 5: ,1.2,0.706,0.698,0.733,0.538
Joint 6: ,0.0,0.738,0.738,1.553,2.195
Trial,17,Sim Type,5,Distance Weight,1,Random Seed,255,Min Iterations,2000,Distance cost,0.4006851629071927,Manip Cost,0.8,Total cost,0.38065090476183305,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.500233363e-11,0.0,0.0,0.0
Distance to Last Node,0.0,0.084,0.112,0.081,0.107
Total Cost,0.0,0.08306,0.19406,0.27492,0.38065
Joint 0: ,-0.3,-0.158,-0.01,0.191,0.295
Joint 1: ,0.3,0.408,0.569,0.666,0.866
Joint 2: ,0.4,0.382,0.376,0.243,0.312
Joint 3: ,1.2,1.212,1.222,1.151,0.97
Joint 4: ,0.5,0.59,0.688,0.752,0.858
Joint 5: ,1.2,1.082,0.935,0.865,0.707
Joint 6: ,0.0,0.11,0.66,0.911,0.911
Trial,18,Sim Type,5,Distance Weight,1,Random Seed,270,Min Iterations,2000,Distance cost,0.4045327584138371,Manip Cost,0.5186240891317656,Total cost,0.3843061204931453,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,0.07630529085350825,0.0
Distance to Last Node,0.0,0.065,0.123,0.065,0.088,0.047
Total Cost,0.0,0.06425,0.18647,0.25092,0.33792,0.38431
Joint 0: ,-0.3,-0.04,0.28,0.219,0.409,0.443
Joint 1: ,0.3,0.349,0.481,0.613,0.718,0.816
Joint 2: ,0.4,0.147,-0.046,0.149,0.011,0.027
Joint 3: ,1.2,1.247,1.225,1.143,1.106,1.0
Joint 4: ,0.5,0.672,0.778,0.828,0.918,0.968
Joint 5: ,1.2,1.081,0.982,0.854,0.74,0.674
Joint 6: ,0.0,1.068,1.493,1.446,1.619,1.682
