Trial,1,Sim Type,5,Distance Weight,0.9,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.9,Random Seed,30,Min Iterations,2500,Distance cost,6.087148796867803,Manip Cost,1.9122811470625347,Total cost,5.669662031887276,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26663340631107496,0.30179270085311233,0.28364609884062053,0.2829552459954454
Joint 0: ,-0.2,-0.125,-0.101,-0.064,-0.006,0.032,0.088,0.159,0.227,0.304,0.322,0.344
Joint 1: ,0.4,0.475,0.436,0.379,0.44,0.368,0.47,0.549,0.643,0.736,0.806,0.856
Joint 2: ,0.4,0.428,0.35,0.303,0.33,0.312,0.3,0.318,0.259,0.208,0.192,0.195
Joint 3: ,0.9,0.879,0.987,1.097,1.104,1.255,1.213,1.159,1.071,0.988,0.985,0.969
Joint 4: ,0.9,0.947,0.869,0.79,0.821,0.762,0.793,0.84,0.903,0.966,0.967,0.971
Joint 5: ,0.9,0.827,0.906,0.994,0.974,1.089,1.039,0.971,0.881,0.794,0.767,0.748
Joint 6: ,0.0,0.047,0.126,0.204,0.236,0.283,0.314,0.362,0.424,0.487,0.487,0.487
Trial,8,Sim Type,5,Distance Weight,0.9,Random Seed,120,Min Iterations,2500,Distance cost,6.69833783784961,Manip Cost,1.5450981556961523,Total cost,6.183013869634264,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,2.731596455e-11,3.981238089e-11,1e-20,1e-20,4.428530502e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.047,0.05,0.03,0.05,0.063,0.012
Total Cost,0.0,0.6,1.2,1.8,2.4,3.0,3.56933,4.19677,4.57883,5.20762,6.00006,6.18301
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2743206599548944,0.26592924831569437,0.2879198441035303,0.32075194166546434,0.39617646165656895
Joint 0: ,-0.2,-0.175,-0.153,-0.088,-0.044,-0.045,0.002,0.06,0.096,0.165,0.219,0.232
Joint 1: ,0.4,0.344,0.278,0.356,0.433,0.482,0.544,0.607,0.654,0.754,0.888,0.908
Joint 2: ,0.4,0.416,0.404,0.421,0.433,0.42,0.406,0.385,0.387,0.389,0.418,0.419
Joint 3: ,0.9,0.977,1.083,1.091,1.103,1.15,1.168,1.182,1.17,1.068,0.985,0.973
Joint 4: ,0.9,0.884,0.833,0.871,0.871,0.857,0.851,0.846,0.862,0.909,0.966,0.968
Joint 5: ,0.9,0.964,1.046,0.984,0.962,0.971,0.924,0.867,0.834,0.763,0.759,0.748
Joint 6: ,0.0,0.016,0.063,0.11,0.11,0.11,0.11,0.11,0.11,0.157,0.204,0.204
