Trial,1,Sim Type,6,Distance Weight,0.8,Random Seed,15,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Joint 0: ,0.0,1.164,1.748,1.679,1.694,1.898,1.805,1.831
Joint 1: ,-0.7,-1.86,-1.207,-1.247,-1.126,-1.232,-1.497,-1.241
Joint 2: ,0.0,-0.845,-0.978,-1.162,-1.13,-1.153,-1.308,-1.084
Joint 3: ,1.5,1.763,1.238,1.474,1.413,1.141,1.028,1.302
Joint 4: ,0.0,-0.683,-0.864,-0.658,-0.564,-0.705,-0.862,-0.789
Joint 5: ,1.5,1.552,0.912,1.148,1.23,1.046,1.098,1.288
Joint 6: ,0.0,-1.115,-1.712,-1.916,-2.388,-2.529,-2.592,-2.718
Trial,9,Sim Type,6,Distance Weight,0.8,Random Seed,135,Min Iterations,1000,Distance cost,0.403992262690039,Manip Cost,0.3696830146486474,Total cost,0.3149172355071871,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.047692928107792965,4.68314553344242e-06,8.69787717873846e-06,0.0,0.03562507237570532,0.046016498147504685,8.36150772440894e-06
Distance to Last Node,0.0,0.05,0.099,0.099,0.1,0.05,0.068,0.059
Total Cost,0.0,0.02924,0.10657,0.18468,0.28054,0.2736,0.30892,0.31492
Joint 0: ,0.0,0.565,0.29,0.167,0.013,-0.07,0.304,0.25
Joint 1: ,-0.7,-0.056,0.206,0.401,0.58,0.587,0.151,0.341
Joint 2: ,0.0,-0.581,-0.762,-0.761,-0.8,-0.815,-0.836,-0.875
Joint 3: ,1.5,1.695,1.531,1.486,1.392,1.275,1.708,1.656
Joint 4: ,0.0,-0.613,-0.735,-0.657,-0.578,-0.64,-0.58,-0.529
Joint 5: ,1.5,0.856,0.434,0.356,0.278,0.188,0.445,0.392
Joint 6: ,0.0,-0.613,-1.037,-1.084,-1.398,-1.461,-1.901,-2.765
Trial,10,Sim Type,6,Distance Weight,0.8,Random Seed,150,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,11,Sim Type,6,Distance Weight,0.8,Random Seed,165,Min Iterations,1000,Distance cost,0.7912609054940676,Manip Cost,0.07191554205094329,Total cost,0.6056007440139797,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,1.0,0.048044184445391484,0.04686599065777219,0.06491654487199078,0.06216114635927283,0.03708755269494811
Distance to Last Node,0.0,0.082,0.05,0.401,0.084,0.064,0.116,0.121,0.11
Total Cost,0.0,0.04822,0.07746,0.31179,0.36093,0.40204,0.47069,0.5405,0.6056
Joint 0: ,0.0,0.479,0.793,0.935,1.199,1.204,1.451,1.407,1.629
Joint 1: ,-0.7,-1.361,-1.08,-1.03,-0.766,-0.73,-1.311,-1.211,-1.225
Joint 2: ,0.0,-1.127,-1.187,-1.178,-1.413,-1.453,-1.124,-1.39,-1.366
Joint 3: ,1.5,1.743,1.528,1.356,1.293,1.266,1.519,1.582,1.585
Joint 4: ,0.0,-0.651,-0.723,-0.692,-0.472,-0.5,0.271,0.007,0.036
Joint 5: ,1.5,1.563,1.274,1.12,1.065,1.043,0.421,0.578,0.505
Joint 6: ,0.0,0.377,0.66,1.429,2.215,2.371,2.591,2.483,2.76
Trial,12,Sim Type,6,Distance Weight,0.8,Random Seed,180,Min Iterations,1000,Distance cost,0.45947773146454784,Manip Cost,0.08871466349556825,Total cost,0.35587305438792166,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.039117812998626884,0.06411505961556233,0.06348968100415377,0.06310162418977076,0.061361399444004865
Distance to Last Node,0.0,0.092,0.093,0.093,0.097,0.098,0.123
Total Cost,0.0,0.05387,0.10854,0.17099,0.22429,0.29197,0.35587
Joint 0: ,0.0,1.025,1.806,1.453,1.832,1.777,1.785
Joint 1: ,-0.7,-1.065,-1.319,-1.223,-1.363,-1.333,-1.284
Joint 2: ,0.0,-0.437,-1.232,-0.873,-1.031,-0.96,-1.003
