Joint 4: ,0.0,-0.801,-0.466,-0.974,-0.557,-0.242,-0.065,-0.044,-0.302,-0.222
Joint 5: ,1.5,1.339,1.665,1.248,0.377,0.691,0.454,0.615,0.758,0.739
Joint 6: ,0.0,0.267,1.115,1.602,2.419,2.513,2.469,2.343,2.729,2.729
Trial,7,Sim Type,6,Distance Weight,0.8,Random Seed,105,Min Iterations,1000,Distance cost,0.754426831908436,Manip Cost,0.15300106269339195,Total cost,0.5917333621730748,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,0.045706774779799335,4.676628378e-11,0.02915588572546625,0.037017999751753426,0.0362151832053877,0.06326865805628755,0.038607653115387795
Distance to Last Node,0.0,0.1,0.05,0.124,0.05,0.09,0.113,0.125,0.05,0.05,0.117,0.112
Total Cost,0.0,0.05877,0.08801,0.16047,0.18971,0.24234,0.31792,0.39779,0.4263,0.45322,0.53116,0.59173
Joint 0: ,0.0,0.696,0.711,1.141,1.015,1.519,1.749,1.709,1.638,1.681,1.742,1.809
Joint 1: ,-0.7,-0.958,-1.025,-1.012,-1.09,-0.949,-1.081,-0.95,-1.087,-1.08,-1.162,-1.207
Joint 2: ,0.0,-0.387,-0.449,-0.791,-0.728,-0.842,-1.184,-1.124,-1.34,-1.383,-1.055,-1.149
Joint 3: ,1.5,0.992,0.967,1.064,1.011,0.797,1.043,0.865,1.21,1.43,1.238,1.301
Joint 4: ,0.0,-0.355,-0.384,-0.667,-0.66,-0.989,-1.137,-0.844,-0.719,-0.506,-0.663,-0.701
Joint 5: ,1.5,1.346,1.362,1.011,1.105,0.835,0.871,0.76,1.084,1.304,1.306,1.253
Joint 6: ,0.0,-0.723,-0.738,-1.335,-1.429,-1.759,-2.262,-2.729,-2.998,-3.187,-3.121,-3.058
Trial,8,Sim Type,6,Distance Weight,0.8,Random Seed,120,Min Iterations,1000,Distance cost,0.5794171359440479,Manip Cost,0.06774318922428871,Total cost,0.44821861796932067,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,0.05712847498513719,0.03791087484383884,0.05569131679513073,0.037034751391803976,0.037641569184758986
Distance to Last Node,0.0,0.112,0.122,0.087,0.05,0.096,0.05,0.096,0.117,0.023
Total Cost,0.0,0.06551,0.13669,0.18782,0.21706,0.27311,0.30462,0.36426,0.43185,0.44822
Joint 0: ,0.0,1.164,1.186,1.196,1.257,1.449,1.709,1.563,1.661,1.707
Joint 1: ,-0.7,-1.86,-1.148,-1.072,-1.367,-0.996,-1.104,-0.98,-1.051,-1.067
Joint 2: ,0.0,-0.845,-0.397,-1.213,-1.48,-1.217,-1.455,-1.253,-1.506,-1.533
Joint 3: ,1.5,1.763,1.073,1.19,1.273,1.097,1.341,1.394,1.347,1.343
Joint 4: ,0.0,-0.683,-0.315,-0.502,-0.722,-0.266,-0.281,-0.14,0.081,0.073
Joint 5: ,1.5,1.552,0.928,0.949,1.113,0.748,0.921,1.017,1.027,1.009
Joint 6: ,0.0,-1.115,-1.866,-2.761,-2.844,-3.08,-3.222,-3.206,-3.364,-3.364
Trial,9,Sim Type,6,Distance Weight,0.8,Random Seed,135,Min Iterations,1000,Distance cost,0.43923662701219174,Manip Cost,0.3545789649154626,Total cost,0.3393099939910343,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.044696539583173704,0.029602956105795483,5.56972340538726e-06,7.75253312444356e-06,8.68109247730888e-06,8.93404101421914e-06,9.70899417968127e-06
Distance to Last Node,0.0,0.05,0.1,0.1,0.098,0.1,0.05,0.074
Total Cost,0.0,0.03301,0.10082,0.17215,0.24462,0.30499,0.29731,0.33931
Joint 0: ,0.0,0.408,-0.125,-0.03,-0.043,0.115,0.106,0.121
Joint 1: ,-0.7,-0.26,0.426,0.418,0.435,0.381,0.392,0.419
Joint 2: ,0.0,-0.298,-0.427,-0.443,-0.61,-0.804,-0.807,-0.832
Joint 3: ,1.5,1.393,0.975,1.015,1.125,1.416,1.405,1.4
Joint 4: ,0.0,-0.247,-0.391,-0.27,-0.263,-0.071,-0.072,-0.063
Joint 5: ,1.5,1.073,0.458,0.452,0.589,0.883,0.873,0.865
Joint 6: ,0.0,-0.408,-1.021,-1.445,-1.869,-2.152,-2.152,-2.435
Trial,10,Sim Type,6,Distance Weight,0.8,Random Seed,150,Min Iterations,1000,Distance cost,0.4615323451821504,Manip Cost,0.26960308378102293,Total cost,0.39289280675426874,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.05185871800249278,0.05249202662911123,0.051217257366955836,3.89699292163045e-06,3.79550612901485e-06,3.86258570826231e-06,0.0339269187459507
Distance to Last Node,0.0,0.09,0.118,0.05,0.1,0.05,0.069,0.122
Total Cost,0.0,0.05644,0.13163,0.16411,0.22165,0.2769,0.32523,0.39289
Joint 0: ,0.0,0.228,0.391,0.4,0.314,0.341,0.224,-0.144
Joint 1: ,-0.7,-0.046,0.145,0.129,0.173,0.173,0.192,0.383
Joint 2: ,0.0,-0.315,-0.63,-0.622,-0.746,-0.722,-0.66,-0.445
Joint 3: ,1.5,1.346,1.3,1.268,1.39,1.328,1.345,1.31
Joint 4: ,0.0,-0.24,-0.178,-0.178,-0.225,-0.222,-0.239,-0.209
Joint 5: ,1.5,1.038,0.892,0.873,1.038,1.009,1.217,1.107
Joint 6: ,0.0,-0.581,-1.398,-1.398,-1.257,-1.257,-2.074,-2.843
Trial,11,Sim Type,6,Distance Weight,0.8,Random Seed,165,Min Iterations,1000,Distance cost,0.7628616068013123,Manip Cost,0.04701966433460148,Total cost,0.5832813186241609,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,0.03944587820914548,1.0,0.03993755904586656,0.03722605912739343
Distance to Last Node,0.0,0.082,0.05,0.401,0.111,0.086,0.09,0.097,0.074
Total Cost,0.0,0.04822,0.07746,0.31179,0.37695,0.42705,0.4813,0.53655,0.58328
Joint 0: ,0.0,0.479,0.793,0.935,1.051,1.584,1.423,1.569,1.652
Joint 1: ,-0.7,-1.361,-1.08,-1.03,-1.322,-1.352,-1.603,-1.44,-1.375
Joint 2: ,0.0,-1.127,-1.187,-1.178,-1.234,-1.245,-1.173,-1.278,-1.257
Joint 3: ,1.5,1.743,1.528,1.356,1.632,1.536,1.64,1.58,1.677
Joint 4: ,0.0,-0.651,-0.723,-0.692,-0.395,-0.108,-0.265,-0.078,-0.013
Joint 5: ,1.5,1.563,1.274,1.12,0.807,0.325,0.44,0.561,0.303
Joint 6: ,0.0,0.377,0.66,1.429,1.793,2.579,2.933,2.972,2.987
Trial,12,Sim Type,6,Distance Weight,0.8,Random Seed,180,Min Iterations,1000,Distance cost,0.5011604139807008,Manip Cost,0.16305339282618492,Total cost,0.4032634142557214,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,0.06795996672522896,1.0,4.426590796e-11,0.06647257627990572,0.06817688752965702,0.06865336147596272
Distance to Last Node,0.0,0.092,0.05,0.098,0.05,0.112,0.096,0.096,0.057
Total Cost,0.0,0.05387,0.08311,0.14014,0.17269,0.23502,0.30709,0.36865,0.40326
Joint 0: ,0.0,1.025,1.275,1.809,1.385,1.695,1.789,1.726,1.767
Joint 1: ,-0.7,-1.065,-1.234,-1.405,-1.798,-1.212,-1.303,-1.458,-1.414
Joint 2: ,0.0,-0.437,-0.727,-0.947,-0.524,-0.558,-0.663,-0.907,-1.022
Joint 3: ,1.5,1.096,1.373,1.48,1.53,1.144,1.254,1.523,1.476
Joint 4: ,0.0,-0.974,-0.841,-0.9,-0.508,-0.514,-0.749,-0.612,-0.723
Joint 5: ,1.5,1.467,1.552,0.955,1.351,0.826,1.058,1.004,0.895
Joint 6: ,0.0,-1.037,-1.037,-1.634,-1.9,-1.956,-2.443,-2.48,-2.496
Trial,13,Sim Type,6,Distance Weight,0.8,Random Seed,195,Min Iterations,1000,Distance cost,0.42123231979724746,Manip Cost,0.3132059111910529,Total cost,0.32635313271328104,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.0331447146632229,0.03321343847984104,0.05497721975218327,5.40163648762088e-06,5.19708201488364e-06,7.57425213334893e-06,6.82325378941959e-06
Distance to Last Node,0.0,0.097,0.05,0.099,0.098,0.073,0.115,0.015
Total Cost,0.0,0.06084,0.10149,0.161,0.23552,0.28803,0.36082,0.32635
Joint 0: ,0.0,-0.041,-0.048,0.166,0.036,0.039,0.094,0.112
Joint 1: ,-0.7,0.353,0.371,0.125,0.338,0.304,0.378,0.339
Joint 2: ,0.0,-0.5,-0.505,-0.56,-0.53,-0.566,-0.689,-0.685
Joint 3: ,1.5,1.532,1.595,1.683,1.623,1.683,1.526,1.538
Joint 4: ,0.0,-0.56,-0.528,-0.637,-0.643,-0.643,-0.486,-0.485
Joint 5: ,1.5,0.526,0.581,0.722,0.601,0.7,0.665,0.68
Joint 6: ,0.0,-0.974,-1.005,-1.272,-1.429,-1.367,-1.963,-1.964
Trial,14,Sim Type,6,Distance Weight,0.8,Random Seed,210,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,15,Sim Type,6,Distance Weight,0.8,Random Seed,225,Min Iterations,1000,Distance cost,0.6181310971048825,Manip Cost,0.05148551102868499,Total cost,0.4765277320603124,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,1.0,0.06446944826611482,1.0,0.03047454042334551,0.03278962427971237,0.03369505954050013
Distance to Last Node,0.0,0.05,0.091,0.083,0.05,0.09,0.094,0.074,0.096,0.103,0.071
Total Cost,0.0,0.02924,0.08265,0.13137,0.16061,0.21318,0.26828,0.31313,0.36785,0.43326,0.47653
Joint 0: ,0.0,0.557,0.532,0.449,0.867,1.42,1.599,1.129,1.785,1.461,1.629
Joint 1: ,-0.7,-1.264,-1.454,-1.052,-1.437,-1.575,-1.433,-1.437,-0.941,-0.937,-0.935
Joint 2: ,0.0,-0.581,-0.786,-0.619,-1.058,-1.267,-1.408,-1.44,-1.341,-1.525,-1.556
Joint 3: ,1.5,1.653,1.587,1.478,1.59,1.452,1.661,1.478,0.888,1.524,1.463
Joint 4: ,0.0,-0.57,-0.781,-0.467,-0.844,-1.117,-0.834,-0.887,-0.581,-0.12,-0.086
Joint 5: ,1.5,1.607,1.537,1.628,1.41,0.883,0.836,0.879,0.38,0.819,0.742
Joint 6: ,0.0,-0.55,-1.147,-2.215,-2.466,-2.551,-3.033,-3.085,-3.258,-3.336,-3.383
Trial,16,Sim Type,6,Distance Weight,0.8,Random Seed,240,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,17,Sim Type,6,Distance Weight,0.8,Random Seed,255,Min Iterations,1000,Distance cost,0.6949686289655947,Manip Cost,0.1282995418141858,Total cost,0.5377178255445006,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,1.0,1.0,0.0341111413369372,0.0,0.0625254796047116,0.036149069094061494
Distance to Last Node,0.0,0.05,0.087,0.096,0.05,0.117,0.05,0.12,0.113,0.1,0.119
Total Cost,0.0,0.02924,0.08019,0.13661,0.16585,0.23419,0.26343,0.33382,0.40799,0.46825,0.53772
Joint 0: ,0.0,0.707,0.822,0.75,0.542,0.728,0.912,1.502,1.655,1.381,1.616
Joint 1: ,-0.7,-1.206,-1.163,-1.081,-1.123,-1.054,-0.898,-1.014,-1.45,-1.233,-1.106
Joint 2: ,0.0,-0.707,-1.544,-1.594,-1.719,-1.541,-1.634,-1.22,-1.632,-1.466,-1.512
Joint 3: ,1.5,1.244,1.827,1.53,1.552,1.548,1.474,1.124,1.265,1.613,1.558
Joint 4: ,0.0,-0.675,-0.336,-0.508,-0.634,0.349,0.334,0.735,0.371,0.315,0.352
Joint 5: ,1.5,1.189,1.155,0.947,1.099,1.015,0.858,0.508,0.391,0.704,0.605
Joint 6: ,0.0,-0.047,1.257,1.712,1.838,2.526,2.589,2.659,2.597,2.489,2.52
Trial,18,Sim Type,6,Distance Weight,0.8,Random Seed,270,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,19,Sim Type,6,Distance Weight,0.8,Random Seed,285,Min Iterations,1000,Distance cost,0.5797853444526163,Manip Cost,0.28571108291738695,Total cost,0.46970642008183305,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,1.0,1.0,4.437469298e-11,0.0,0.03730618839642598,0.0
Distance to Last Node,0.0,0.096,0.083,0.05,0.095,0.05,0.084,0.068,0.083,0.112,0.032
Total Cost,0.0,0.05639,0.1048,0.13404,0.1898,0.21904,0.26828,0.30806,0.38761,0.44375,0.46971
Joint 0: ,0.0,0.783,0.968,1.372,1.13,1.303,1.363,1.853,1.751,1.749,1.811
Joint 1: ,-0.7,-1.303,-1.034,-1.171,-1.225,-1.43,-1.352,-1.192,-1.088,-1.067,-1.067
Joint 2: ,0.0,-0.944,-1.482,-1.58,-1.185,-1.279,-1.25,-1.382,-1.491,-1.468,-1.526
Joint 3: ,1.5,1.538,1.695,1.224,1.436,1.172,0.993,1.135,1.202,1.178,1.157
Joint 4: ,0.0,-0.623,-0.215,-0.655,0.017,-0.218,-0.037,-0.064,-0.061,-0.016,-0.065
Joint 5: ,1.5,1.425,1.585,1.127,1.677,1.441,1.363,1.299,1.406,1.305,1.351
Joint 6: ,0.0,0.204,1.225,1.665,2.293,2.294,2.702,3.014,2.637,2.747,2.715
Trial,20,Sim Type,6,Distance Weight,0.8,Random Seed,300,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,21,Sim Type,6,Distance Weight,0.8,Random Seed,315,Min Iterations,1000,Distance cost,0.5632790171762683,Manip Cost,0.07239353639068863,Total cost,0.4369672771243986,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,0.057169719834450045,0.06215153156439619,0.036563044679556275,0.06275935291471627,0.03743199855963372
Distance to Last Node,0.0,0.05,0.096,0.09,0.112,0.098,0.116,0.113,0.057
Total Cost,0.0,0.02924,0.08543,0.13785,0.20317,0.26414,0.3352,0.40415,0.43697
Joint 0: ,0.0,0.766,0.833,0.638,1.175,1.605,1.663,1.6,1.648
Joint 1: ,-0.7,-1.319,-1.035,-0.972,-1.144,-1.083,-1.135,-1.269,-1.276
Joint 2: ,0.0,-0.77,-0.808,-0.796,-1.017,-1.417,-1.452,-1.205,-1.283
Joint 3: ,1.5,1.363,1.314,1.333,1.547,1.42,1.541,1.566,1.594
Joint 4: ,0.0,-0.738,-0.881,-0.434,-0.641,-0.878,-0.689,-0.229,-0.257
Joint 5: ,1.5,1.159,1.043,1.065,0.743,0.476,0.525,0.423,0.48
Joint 6: ,0.0,-0.33,0.66,1.131,1.476,2.089,2.11,2.88,2.843
Trial,22,Sim Type,6,Distance Weight,0.8,Random Seed,330,Min Iterations,1000,Distance cost,0.7014292986022979,Manip Cost,0.13584372578823992,Total cost,0.5418152747617634,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,1.0,0.0,0.061903250398927606,0.05756783950976101,0.05598327237274666,0.057179255768508686
Distance to Last Node,0.0,0.05,0.124,0.094,0.095,0.109,0.096,0.091,0.102,0.095,0.055
Total Cost,0.0,0.02924,0.10198,0.15724,0.21279,0.27638,0.33275,0.39821,0.46312,0.52655,0.54182
Joint 0: ,0.0,0.636,0.339,0.091,0.585,1.061,1.692,1.415,1.59,1.525,1.593
Joint 1: ,-0.7,-1.138,-1.103,-0.866,-1.121,-0.905,-1.233,-1.303,-1.199,-1.2,-1.18
Joint 2: ,0.0,-0.66,-1.336,-0.928,-1.594,-1.662,-1.663,-1.235,-1.496,-1.383,-1.463
Joint 3: ,1.5,1.41,1.641,1.943,1.784,1.499,1.387,1.628,1.724,1.735,1.713
Joint 4: ,0.0,-0.628,-0.323,-0.011,-0.058,0.472,0.77,0.887,0.871,0.905,0.853
Joint 5: ,1.5,1.154,1.274,1.513,1.181,0.704,0.191,0.561,0.269,0.346,0.297
Joint 6: ,0.0,-0.628,-1.916,-3.079,-4.006,-3.501,-3.741,-3.515,-4.284,-4.268,-4.221
Trial,23,Sim Type,6,Distance Weight,0.8,Random Seed,345,Min Iterations,1000,Distance cost,0.8576174824792837,Manip Cost,0.17213899612224004,Total cost,0.6654991161647166,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,0.061221752381096714,1.0,2.87212605e-11,0.0398108080335157,0.03752156934745881,0.03518054843895828
Distance to Last Node,0.0,0.119,0.419,0.05,0.124,0.096,0.093,0.122,0.092
Total Cost,0.0,0.0697,0.31448,0.34372,0.41768,0.47251,0.5535,0.61287,0.6655
Joint 0: ,0.0,0.987,0.781,1.205,0.95,1.877,1.638,1.482,1.619
Joint 1: ,-0.7,-1.451,-1.757,-1.678,-1.342,-1.283,-1.254,-1.198,-1.046
Joint 2: ,0.0,-0.418,-0.64,-1.059,-1.349,-1.424,-1.374,-1.457,-1.476
Joint 3: ,1.5,1.653,1.763,1.794,1.801,1.453,1.422,1.558,1.514
Joint 4: ,0.0,-1.025,-0.976,-1.245,-1.169,-0.36,-0.322,-0.055,-0.042
Joint 5: ,1.5,1.791,1.319,0.952,0.998,0.386,0.354,0.718,0.663
Joint 6: ,0.0,-1.1,-1.979,-2.372,-2.968,-3.473,-3.536,-3.442,-3.583
