Joint 4: ,0.0,-0.355,-0.384,-0.667,-0.66,-0.989,-1.137,-0.373,-0.143,-0.08,-0.176
Joint 5: ,1.5,1.346,1.362,1.011,1.105,0.835,0.871,1.487,1.314,1.463,1.536
Joint 6: ,0.0,-0.723,-0.738,-1.335,-1.429,-1.759,-2.262,-2.636,-2.557,-3.005,-3.176
Trial,8,Sim Type,6,Distance Weight,1,Random Seed,120,Min Iterations,1000,Distance cost,0.5657861915510306,Manip Cost,0.3428382020890785,Total cost,0.537496881973479,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,0.0,1.0,1.0,0.0,0.03791087484383884,0.03645425816036682,0.0,0.037641569184758986
Distance to Last Node,0.0,0.112,0.05,0.109,0.05,0.092,0.087,0.05,0.086,0.1
Total Cost,0.0,0.08188,0.11843,0.19805,0.2346,0.30187,0.36526,0.40181,0.46468,0.5375
Joint 0: ,0.0,1.164,1.745,0.726,1.196,1.732,1.709,1.704,1.836,1.707
Joint 1: ,-0.7,-1.86,-1.315,-1.481,-1.072,-1.137,-1.104,-1.051,-1.206,-1.067
Joint 2: ,0.0,-0.845,-1.082,-0.767,-1.213,-1.482,-1.455,-1.395,-1.454,-1.533
Joint 3: ,1.5,1.763,1.272,1.56,1.19,1.074,1.341,1.282,1.059,1.343
Joint 4: ,0.0,-0.683,-0.943,-0.063,-0.502,-0.517,-0.281,-0.25,-0.281,0.073
Joint 5: ,1.5,1.552,0.99,1.389,0.949,0.658,0.921,0.89,0.779,1.009
Joint 6: ,0.0,-1.115,-1.665,-2.322,-2.761,-3.206,-3.222,-3.253,-3.206,-3.364
Trial,9,Sim Type,6,Distance Weight,1,Random Seed,135,Min Iterations,1000,Distance cost,0.4304438234061871,Manip Cost,0.33299499736010957,Total cost,0.4144117896976463,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.050006529868842534,4.34357347984573e-06,8.26422050718513e-06,0.031481267846545154,8.93404101421914e-06,9.70899417968127e-06
Distance to Last Node,0.0,0.098,0.099,0.095,0.093,0.1,0.074
Total Cost,0.0,0.0719,0.14455,0.21417,0.28206,0.35514,0.41441
Joint 0: ,0.0,0.204,-0.207,0.055,0.065,0.106,0.121
Joint 1: ,-0.7,0.068,0.647,0.425,0.43,0.392,0.419
Joint 2: ,0.0,-0.529,-0.23,-0.673,-0.827,-0.807,-0.832
Joint 3: ,1.5,1.243,0.857,1.338,1.439,1.405,1.4
Joint 4: ,0.0,-0.357,-0.262,-0.106,-0.077,-0.072,-0.063
Joint 5: ,1.5,0.772,0.253,0.75,0.875,0.873,0.865
Joint 6: ,0.0,-0.707,-1.225,-1.712,-2.152,-2.152,-2.435
Trial,10,Sim Type,6,Distance Weight,1,Random Seed,150,Min Iterations,1000,Distance cost,0.4586618061054309,Manip Cost,0.2698984599042124,Total cost,0.4357287158001593,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.05185871800249278,0.04389510921070997,0.051217257366955836,3.89699292163045e-06,3.79550612901485e-06,4.37446802062646e-06,0.0339269187459507
Distance to Last Node,0.0,0.09,0.071,0.1,0.1,0.05,0.062,0.123
Total Cost,0.0,0.06607,0.11819,0.19118,0.27643,0.30094,0.34594,0.43573
Joint 0: ,0.0,0.228,0.466,0.4,0.314,0.341,0.204,-0.144
Joint 1: ,-0.7,-0.046,-0.372,0.129,0.173,0.173,0.228,0.383
Joint 2: ,0.0,-0.315,-0.298,-0.622,-0.746,-0.722,-0.634,-0.445
Joint 3: ,1.5,1.346,1.57,1.268,1.39,1.328,1.289,1.31
Joint 4: ,0.0,-0.24,-0.063,-0.178,-0.225,-0.222,-0.261,-0.209
Joint 5: ,1.5,1.038,1.38,0.873,1.038,1.009,1.162,1.107
Joint 6: ,0.0,-0.581,-0.911,-1.398,-1.257,-1.257,-2.089,-2.843
Trial,11,Sim Type,6,Distance Weight,1,Random Seed,165,Min Iterations,1000,Distance cost,0.7579958324730804,Manip Cost,0.05804789968167068,Total cost,0.7200960408494264,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,0.03944587820914548,0.06617953882358557,0.06139268108790995,0.03722605912739343
Distance to Last Node,0.0,0.082,0.05,0.401,0.111,0.086,0.114,0.113,0.027
Total Cost,0.0,0.06028,0.09683,0.38973,0.47119,0.53381,0.6174,0.70016,0.7201
Joint 0: ,0.0,0.479,0.793,0.935,1.051,1.584,1.454,1.592,1.652
Joint 1: ,-0.7,-1.361,-1.08,-1.03,-1.322,-1.352,-1.514,-1.387,-1.375
Joint 2: ,0.0,-1.127,-1.187,-1.178,-1.234,-1.245,-1.13,-1.242,-1.257
Joint 3: ,1.5,1.743,1.528,1.356,1.632,1.536,1.633,1.695,1.677
Joint 4: ,0.0,-0.651,-0.723,-0.692,-0.395,-0.108,-0.014,-0.012,-0.013
Joint 5: ,1.5,1.563,1.274,1.12,0.807,0.325,0.406,0.315,0.303
Joint 6: ,0.0,0.377,0.66,1.429,1.793,2.579,2.956,2.987,2.987
Trial,12,Sim Type,6,Distance Weight,1,Random Seed,180,Min Iterations,1000,Distance cost,0.4548278647965786,Manip Cost,0.40412126278724314,Total cost,0.4320864715567497,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.807942481e-11,1.0,0.0,8.17949982e-12,0.06817688752965702,0.06865336147596272
Distance to Last Node,0.0,0.092,0.093,0.085,0.096,0.05,0.117,0.057
Total Cost,0.0,0.06733,0.13538,0.1976,0.26784,0.30439,0.39023,0.43209
Joint 0: ,0.0,1.025,1.777,1.385,1.892,1.89,1.726,1.767
Joint 1: ,-0.7,-1.065,-1.649,-1.798,-1.462,-1.53,-1.458,-1.414
Joint 2: ,0.0,-0.437,-1.213,-0.524,-0.904,-0.972,-0.907,-1.022
Joint 3: ,1.5,1.096,1.577,1.53,1.41,1.407,1.523,1.476
Joint 4: ,0.0,-0.974,-1.136,-0.508,-0.702,-0.749,-0.612,-0.723
Joint 5: ,1.5,1.467,1.191,1.351,1.021,1.068,1.004,0.895
Joint 6: ,0.0,-1.037,-1.492,-1.9,-2.144,-2.097,-2.48,-2.496
Trial,13,Sim Type,6,Distance Weight,1,Random Seed,195,Min Iterations,1000,Distance cost,0.39707701362130965,Manip Cost,0.37644696990146903,Total cost,0.37722316294024416,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.0331447146632229,5.34782962863628e-06,4.11944645989001e-06,5.19708201488364e-06,6.82325378941959e-06
Distance to Last Node,0.0,0.097,0.099,0.099,0.121,0.1
Total Cost,0.0,0.07088,0.14333,0.21563,0.30433,0.37722
Joint 0: ,0.0,-0.041,0.032,0.116,0.039,0.112
Joint 1: ,-0.7,0.353,0.41,0.282,0.304,0.339
Joint 2: ,0.0,-0.5,-0.432,-0.476,-0.566,-0.685
Joint 3: ,1.5,1.532,1.479,1.548,1.683,1.538
Joint 4: ,0.0,-0.56,-0.527,-0.643,-0.643,-0.485
Joint 5: ,1.5,0.526,0.486,0.569,0.7,0.68
Joint 6: ,0.0,-0.974,-1.037,-1.398,-1.367,-1.964
